Riesgos generales (Gestión y Alcance): ,,,,,,,,,,
id ,Riesgo ,impacto ,probabilidad ,nivel de prioridad,Acciones de mitigación ,Responsable ,,,,
RG01,Alcance del proyecto demasiado amplio (Over-scoping). Intentar implementar un IDS completo tipo Snort en lugar de firmas básicas.,4,4,Alto,"Definir un ""Catálogo de Amenazas MVP"" limitado a 3 tipos específicos (ej. Ping Sweep, Port Scan, New Device).",Líder del Proyecto,,,,
,,,,,"Establecer una regla de ""Feature Freeze"" (congelación de requisitos) a mitad del semestre",,,,,
,,,,,Validar el alcance técnico con el docente en la Fase 2 para ajustar expectativas.,,,,,
RG02,Desalineación con los criterios de evaluación. Enfocarse mucho en el código y descuidar la documentación o el despliegue,4,3 ,Alto,"Incluir tareas de documentación y CI/CD en cada Sprint, no dejarlas para el final.",Equipo de desarrolo ,,,,
,,,,,Auditar los entregables contra la rúbrica del Syllabus dos días antes de la entrega.,,,,,
,,,,,"Designar un ""Guardian de Calidad"" rotativo que revise cumplimiento académico.",,,,,
RG03,Dependencia de hardware específico. No tener acceso a una red física compleja (routers/switches empresariales) para probar escenarios reales.,4 ,3,Alto,"Utilizar las redes de los hogares de los integrantes como entornos de prueba ""beta"".",Equipo de desarrolo ,,,,
,,,,,Solicitar acceso temprano a laboratorios de la universidad para pruebas de concepto.,,,,,
RG04,"Problemas de licenciamiento o costos. Uso de APIs o servicios (GreyNoise, Shodan) que superen el presupuesto gratuito o académico.",3 ,2 ,Medio  ,Medir la dimension de las consultas para revisar alternativas de codigo abierto que abarquen la necesidad tecnica comprometida,Equipo de desarrollo ,,,,
,,,,,"Diseñar la arquitectura para ser ""Cloud Agnostic"" (poder migrar a local/Docker si es necesario).",,,,,
,,,,,Reuniones de alineación técnica. ,,,,,
,,,,,,,,,,
"Riesgos Técnicos (Backend, Móvil y Redes)",,,,,,,,,,
id ,Riesgo ,impacto ,probabilidad ,nivel de prioridad,Acciones de mitigación ,responsable ,,,,
RT01,"Restricciones del SO Móvil (Android/iOS). Que el sistema operativo ""mate"" los procesos de monitoreo en segundo plano por ahorro de batería.",4,4,Alto,"Implementar ""Foreground Services"" con notificaciones persistentes para mantener vivo el proceso.",Desarrollador Móvil,,,,
,,,,,"Delegar la carga pesada de monitoreo al Backend, dejando el móvil solo como receptor de Push.",,,,,
,,,,,"Documentar y solicitar permisos de ""Exención de optimización de batería"" en la instalación.",,,,,
,,,,,,,,,,
,,,,,,,,,,
RT02,Falsos positivos en Fingerprinting. Clasificar erróneamente dispositivos críticos (ej. identificar un servidor como una impresora).,3,4,bajo,Utilizar bases de datos de OUI (MAC Address) actualizadas semanalmente.,Desarrollador Backend,,,,
,,,,,Implementar una lógica de confirmación cruzada (MAC + Puertos + Banner Grabbing).,,,,,
,,,,,Permitir que el usuario corrija manualmente el tipo de dispositivo en la App (Feedback loop).,,,,,
RT03,Saturación de la red (Flooding). Que los escaneos activos de GOATGuard generen demasiado tráfico y degraden el rendimiento de la red monitoreada.,4,2 ,Medio  ,Implementar escaneos pasivos (escucha de tráfico ARP/Broadcast) antes de escaneos activos.,Equipo de Arquitectura,,,,
,,,,,"Programar intervalos de escaneo configurables (ej. cada 15 min, no continuo).",,,,,
,,,,,"Añadir un mecanismo de ""Kill Switch"" en la app para detener todo tráfico inmediatamente.",,,,,
RT04,Incompatibilidad de versiones en Desarrollo. Que el código funcione en la máquina de un desarrollador y no en la de otro o en producción.,1,4,bajo,Dockerizar todo el entorno de desarrollo (Backend y Base de Datos) desde el día 1.,Equipo de desarrollo ,,,,
,,,,,Usar variables de entorno (.env) estrictas para configuración.,,,,,
,,,,,"Prohibir ""hardcoding"" de rutas o IPs locales en el código fuente.",,,,,
RT05,Latencia en la comunicación Móvil-Backend. Retraso entre la detección de una amenaza y la notificación en el celular.,3,3,Medio  ,. Optimizar el payload de datos (JSON ligeros) para no saturar el canal.,Desarrollador Movil,,,,
,,,,,"Mostrar un indicador de ""Estado de Conexión"" en la app para que el usuario sepa si los datos son frescos.",,,,,
,,,,,,,,,,
,,,,,,,,,,
Riesgos organizacionales  ,,,,,,,,,,
id ,Riesgo ,impacto ,probabilidad ,nivel de prioridad,Acciones de mitigación ,responsable ,,,,
RK10,Rotación de miembros clave del equipo Scrum. ,3 ,2 ,Medio ,- Plan de contingencia con suplentes. ,Scrum master ,,,,
RK11,Conflictos entre equipos por prioridades cambiantes ,3 ,3 ,Medio ,Reuniones semanales con stakeholders para alinear expectativas. ,Product owner ,,,,
,,,,,- Priorización flexible en el Product Backlog. ,,,,,
RK12,Falta de compromiso en entregas de sprints. ,4 ,2 ,Medio ,Retrospectivas sinceras para identificar bloqueos. ,Scrum master ,,,,
,,,,,- Incentivos por cumplimiento de metas (ej.: bonos). ,,,,,
Riesgos Organizacionales (Equipo y Proceso),,,,,,,,,,
id ,Riesgo ,impacto ,probabilidad ,nivel de prioridad,Acciones de mitigación ,responsable ,,,,
RO01,Pérdida o corrupción de código fuente. Conflictos graves en Git (Merge conflicts) que resulten en pérdida de trabajo.,4,3,Alto,Proteger la rama main y develop requiriendo Pull Requests (PR) obligatorios.,Equipo de desarrollo  ,,,,
