#,MÉTODO,RUTA,RF ASOCIADO,NOMBRE,DESCRIPCIÓN,AUTENTICACIÓN,REQUEST BODY / QUERY PARAMS,RESPONSE (200/201),CÓDIGOS DE ERROR,NOTAS
AUTENTICACIÓN,,,,,,,,,,
1,POST,/api/auth/login,RF-030,Inicio de sesión,"Recibe credenciales del administrador, las valida contra hash almacenado y retorna un token JWT con tiempo de expiración. El token se usa tanto para endpoints REST como para establecer conexiones WebSocket.",No,"{
  ""username"": ""string"",
  ""password"": ""string""
}","{
  ""token"": ""string (JWT)"",
  ""expires_at"": ""ISO 8601""
}","401 Credenciales inválidas
400 Campos requeridos faltantes",El token debe incluirse como Bearer en peticiones REST y como query param ?token=<JWT> en conexiones WebSocket. Se crea registro en SESSION.
2,POST,/api/auth/logout,RF-043,Cierre de sesión,"Revoca el token JWT activo del usuario, invalidando la sesión actual y cerrando cualquier conexión WebSocket asociada.",Bearer JWT,Ninguno,"{
  ""message"": ""Sesión cerrada exitosamente""
}",401 Token inválido o expirado,Marca la SESSION como revocada. Elimina PUSH_TOKEN asociado al dispositivo. El servidor cierra los WebSockets del usuario.
DISPOSITIVOS,,,,,,,,,,
3,GET,/api/devices,RF-032,Inventario de dispositivos,"Retorna la lista completa de dispositivos detectados en la red, con información de identificación, estado y clasificación de cobertura.",Bearer JWT,"Query params opcionales:
?status=active|inactive
?has_agent=true|false
?search=<hostname|ip|alias>","[
  {
    ""id"": ""int"",
    ""ip"": ""string"",
    ""mac"": ""string"",
    ""hostname"": ""string"",
    ""alias"": ""string|null"",
    ""has_agent"": ""bool"",
    ""status"": ""string"",
    ""detected_type"": ""string|null""
  }
]","401 No autenticado
500 Error interno","Fuente: tabla DEVICE (estática, no cambia con frecuencia). Consulta REST bajo demanda del usuario. No se usa para dashboard en tiempo real."
4,GET,/api/devices/{id},RF-033,Detalle de dispositivo,"Retorna toda la información detallada de un dispositivo específico, incluyendo sus métricas actuales leídas de la tabla de estado current.",Bearer JWT,Path param: id (int),"{
  ""id"": ""int"",
  ""network_id"": ""int"",
  ""ip"": ""string"",
  ""mac"": ""string"",
  ""hostname"": ""string"",
  ""alias"": ""string|null"",
  ""has_agent"": ""bool"",
  ""status"": ""string"",
  ""latest_metrics"": { ... },
  ""agent"": { ... } | null
}","401 No autenticado
404 Dispositivo no encontrado","Fuente: DEVICE + DEVICE_CURRENT_METRICS (JOIN por device_id). latest_metrics viene de la tabla current (lectura O(1), no del historial). agent es null si no tiene agente."
5,PUT,/api/devices/{id}/alias,RF-038,Edición de alias,Permite al administrador asignar o modificar un alias descriptivo a un dispositivo del inventario.,Bearer JWT,"{
  ""alias"": ""string (max 64 chars)""
}","{
  ""id"": ""int"",
  ""alias"": ""string"",
  ""updated_at"": ""ISO 8601""
}","401 No autenticado
404 Dispositivo no encontrado
400 Alias inválido o vacío",Fuente: tabla DEVICE. El alias se almacena en el campo alias de DEVICE. No afecta hostname ni detected_type.
MÉTRICAS HISTÓRICAS POR ENDPOINT,,,,,,,,,,
6,GET,/api/devices/{id}/metrics/history,RF-040,Métricas históricas de un endpoint,"Retorna métricas históricas de un endpoint específico, filtradas por rango de tiempo. Esta es la ÚNICA forma de consultar historial; el dashboard usa WebSocket.",Bearer JWT,"Path param: id (int)
Query params requeridos:
?from=<ISO 8601>
&to=<ISO 8601>
Opcional:
?resolution=1m|5m|1h|1d","[
  {
    ""timestamp"": ""ISO 8601"",
    ""bandwidth_in"": ""float"",
    ""bandwidth_out"": ""float"",
    ""tcp_retransmissions"": ""int"",
    ""failed_connections"": ""int"",
    ""dns_response_time"": ""float"",
    ""jitter"": ""float"",
    ""cpu_pct"": ""float"",
    ""ram_pct"": ""float"",
    ""link_speed"": ""float""
  }
]","401 No autenticado
404 Dispositivo no encontrado
400 Rango de tiempo inválido","Fuente: tabla ENDPOINT_SNAPSHOT (historial). Índice compuesto (device_id, timestamp DESC). resolution permite agregar datos en intervalos mayores. Por defecto 1m. Sujeto a política de retención: <7d resolución original, 7-30d promedios/hora, >30d promedios/día."
MÉTRICAS HISTÓRICAS DE RED,,,,,,,,,,
7,GET,|,RF-040,Métricas históricas de la red,"Retorna métricas históricas de la red filtradas por rango de tiempo. Las métricas actuales se reciben por WebSocket, no por este endpoint.",Bearer JWT,"Query params requeridos:
?from=<ISO 8601>
&to=<ISO 8601>
Opcional:
?resolution=1m|5m|1h|1d","[
  {
    ""timestamp"": ""ISO 8601"",
    ""isp_latency_avg"": ""float"",
    ""packet_loss_pct"": ""float"",
    ""jitter"": ""float"",
    ""dns_response_time_avg"": ""float"",
    ""failed_connections_global"": ""int""
  }
]","401 No autenticado
400 Rango de tiempo inválido","Fuente: tabla NETWORK_SNAPSHOT (historial). Índice compuesto (network_id, timestamp DESC). Misma lógica de resolution y retención que el historial por endpoint."
