IDENTIFICADOR,MÓDULO,NOMBRE,PRIORIDAD,REQ. ASOCIADO,ENTRADA,SALIDA,DESCRIPCIÓN,PRECONDICIONES,POSTCONDICIONES,FLUJO BÁSICO,FLUJO ALTERNATIVO
T-001,Agente,Captura de tráfico de red del endpoint,Alta,,Interfaz de red activa del endpoint.,Paquetes de red capturados en formato PCAP.,El agente debe capturar de forma continua todos los paquetes de red que circulen por la interfaz del endpoint en el que se encuentra instalado.,El agente debe estar ejecutándose en el endpoint con permisos de captura de red.,Los paquetes capturados están disponibles para su sanitización y posterior transmisión al colector.,"1. El agente inicia la captura sobre la interfaz de red principal.
2. Cada paquete entrante y saliente es interceptado.
3. El paquete se almacena temporalmente en un buffer local.","1. Si la interfaz de red no está disponible, el agente registra el error y reintenta periódicamente."
T-002,Agente,Sanitización de paquetes en origen,Alta,T-001,Paquete de red capturado con payload completo.,"Paquete recortado según reglas de slicing dinámico, con metadata preservada (orig_len).","El agente debe aplicar un recorte dinámico al payload de cada paquete según el puerto de destino, conservando la variable orig_len para que el motor de análisis pueda calcular el ancho de banda real aunque el paquete haya sido recortado.",El paquete ha sido capturado por RF-001.,"El paquete sanitizado conserva headers completos, metadata de tamaño original y payload recortado según las reglas definidas.","1. El agente recibe el paquete del buffer de captura.
2. Identifica el puerto de destino.
3. Aplica la regla de slicing correspondiente (DNS/HTTPS: 300 bytes, resto: 96 bytes).
4. Preserva el campo orig_len con el tamaño original del paquete.","1. Si el paquete es menor al umbral de recorte, se transmite sin modificación."
T-003,Agente,Transmisión de tráfico al colector vía TCP,Alta,T-002,Paquetes sanitizados listos para transmisión.,Flujo TCP continuo de datos PCAP hacia el colector.,"El agente debe transmitir los paquetes sanitizados al servidor colector a través de una conexión TCP persistente, asegurando la entrega ordenada de los datos de tráfico.",El paquete ha sido sanitizado (RF-002) y el colector se encuentra accesible en la red.,Los datos de tráfico han sido recibidos por el colector.,"1. El agente establece una conexión TCP con el colector.
2. Transmite los paquetes sanitizados de forma continua.
3. Mantiene la conexión abierta mientras el agente esté activo.","1. Si la conexión con el colector se pierde, el agente reintenta la conexión periódicamente.
2. Los paquetes capturados durante la desconexión se descartan para evitar saturación de memoria."
T-004,Agente,Recolección de métricas de CPU del endpoint,Alta,,Estado actual del procesador del endpoint.,Porcentaje de uso de CPU.,El agente debe recolectar periódicamente el porcentaje de uso de CPU del endpoint utilizando librerías de monitoreo del sistema operativo.,El agente debe estar ejecutándose con permisos de lectura sobre los recursos del sistema.,La métrica de CPU está disponible para su empaquetamiento y envío al colector.,"1. El agente consulta el uso de CPU del sistema.
2. Almacena el valor en un paquete de métricas junto con un timestamp.","1. Si la lectura falla, se registra el error y se envía un valor nulo en el siguiente ciclo."
T-005,Agente,Recolección de métricas de RAM del endpoint,Alta,T-004,Estado actual de la memoria del endpoint.,Porcentaje de uso de memoria RAM.,El agente debe recolectar periódicamente el porcentaje de uso de memoria RAM del endpoint.,El agente debe estar ejecutándose con permisos de lectura sobre los recursos del sistema.,La métrica de RAM está disponible para su empaquetamiento y envío al colector.,"1. El agente consulta el uso de memoria RAM del sistema.
2. Almacena el valor junto con la métrica de CPU en el mismo paquete.","1. Si la lectura falla, se registra el error y se envía un valor nulo en el siguiente ciclo."
T-006,Agente,Transmisión de métricas de sistema vía UDP,Alta,"T-004, T-005",Métricas de CPU y RAM recolectadas.,Paquete UDP con métricas del endpoint enviado al colector.,El agente debe empaquetar las métricas de CPU y RAM en un paquete UDP personalizado y enviarlo al colector cada 5 segundos a través de un canal paralelo al de tráfico TCP.,Las métricas de CPU y RAM han sido recolectadas.,El colector ha recibido el paquete UDP con las métricas del endpoint.,"1. El agente empaqueta CPU y RAM con timestamp e identificador del agente.
2. Envía el paquete UDP al colector por el puerto designado.
3. Repite el ciclo cada 5 segundos.","1. Si el envío falla, el agente descarta el paquete y reintenta en el siguiente ciclo (UDP no garantiza entrega)."
T-007,Agente,Cálculo y envío de velocidad de enlace,Media,T-006,Interfaz de red activa del endpoint.,Velocidad de enlace del endpoint en Mbps incluida en las métricas UDP.,El agente debe calcular la velocidad de su enlace de red y enviarla periódicamente al colector junto con las métricas de sistema por el canal UDP.,La interfaz de red está activa y operativa.,La velocidad de enlace está disponible como parte de las métricas del endpoint en el colector.,"1. El agente consulta la velocidad de la interfaz de red.
2. Incluye el valor en el paquete UDP de métricas de sistema.","1. Si no se puede determinar la velocidad, se envía un valor nulo."
T-008,Agente,Descubrimiento de dispositivos por ARP,Alta,,Segmento de red al que está conectado el endpoint.,Lista de dispositivos detectados con dirección IP y MAC.,"El agente debe ejecutar periódicamente un escaneo ARP sobre el segmento de red para descubrir dispositivos conectados, incluyendo aquellos que no tienen agente instalado.",El agente debe estar conectado a la red local y tener permisos para enviar solicitudes ARP.,"El colector cuenta con un listado actualizado de dispositivos detectados en el segmento, asociados al agente que los descubrió.","1. El agente envía solicitudes ARP al rango de direcciones del segmento.
2. Recopila las respuestas con IP y MAC de cada dispositivo.
3. Transmite la lista al colector.","1. Si un dispositivo no responde al ARP, no se incluye en el listado de ese ciclo."
T-009,Agente,Autoregistro del agente en el colector,Alta,,Primera ejecución del agente en un endpoint.,Agente registrado en el colector con identificador único (hostname + MAC).,"El agente debe autoregistrarse en el servidor colector al ejecutarse por primera vez, enviando un paquete de handshake con su identificador único compuesto por el hostname y la dirección MAC de la interfaz principal.","Es la primera vez que el agente se ejecuta en ese endpoint, o el agente no tiene registro previo en el colector.",El colector ha registrado el agente y lo asocia a un endpoint específico en el inventario.,"1. El agente genera su identificador único (hostname + MAC).
2. Envía un paquete de handshake al colector.
3. Espera confirmación de registro.
4. Inicia las operaciones normales de captura y envío.","1. Si el agente ya está registrado, el colector actualiza la marca de tiempo de última conexión.
2. Si el colector no responde, el agente reintenta periódicamente."
T-010,Agente,Envío periódico de señal de vida,Media,T-009,Agente en ejecución continua.,Señal de heartbeat recibida por el colector.,El agente debe enviar periódicamente una señal de vida (heartbeat) al colector para que este pueda determinar qué agentes están activos y cuáles han dejado de reportar.,El agente está registrado en el colector (RF-009).,El colector actualiza la marca de tiempo de última actividad del agente.,"1. El agente envía un heartbeat al colector en intervalos regulares.
2. El heartbeat incluye el identificador del agente y timestamp.","1. Si el envío falla, el agente continúa operando y reintenta en el siguiente ciclo."
