IDENTIFICADOR,CATEGORÍA,NOMBRE,PRIORIDAD,RF ASOCIADO,DESCRIPCIÓN,CRITERIO DE ACEPTACIÓN
RNF-001,Rendimiento,Latencia máxima de transmisión agente-colector,Alta,"T-003, T-006",La transmisión de paquetes desde el agente hacia el colector no debe introducir una latencia adicional superior a 50ms dentro de la red local.,El 95% de los paquetes transmitidos llegan al colector con una latencia adicional menor a 50ms medida en la misma LAN.
RNF-002,Rendimiento,Tiempo de procesamiento de lotes PCAP,Alta,T-016,"El motor de análisis debe procesar cada archivo PCAP rotado en un tiempo menor al intervalo de rotación, evitando acumulación de archivos sin procesar.",Cada lote PCAP se procesa antes de que el siguiente lote esté disponible para análisis.
RNF-003,Rendimiento,Tiempo de respuesta de la API,Alta,T-030 a T-040,"Los endpoints de la API deben responder en un tiempo máximo de 2 segundos para consultas simples (inventario, métricas actuales) y 5 segundos para consultas históricas con rango de tiempo.",El 95% de las peticiones simples responden en menos de 2s y las históricas en menos de 5s.
RNF-004,Rendimiento,Consumo de recursos del agente en el endpoint,Alta,T-001 a T-010,"El agente no debe consumir más del 5% de CPU y 100MB de RAM del endpoint de forma sostenida durante su operación normal, para no degradar el rendimiento del equipo monitoreado.",El agente opera continuamente durante 24 horas sin superar los umbrales de CPU y RAM definidos.
RNF-005,Rendimiento,Frecuencia de actualización de métricas en la app,Media,T-044,La aplicación móvil debe actualizar los datos del dashboard y métricas visibles con una frecuencia no mayor a 30 segundos sin intervención del usuario.,Los indicadores del dashboard se refrescan automáticamente cada 30 segundos o menos.
RNF-006,Disponibilidad,Operación continua del colector,Alta,T-011 a T-015,"El servidor colector debe operar de forma continua 24/7, manteniendo activa la recepción de datos de los agentes sin interrupciones programadas durante el período de monitoreo.",El colector mantiene el servicio de recepción activo sin caídas no planificadas durante al menos 7 días consecutivos de operación.
RNF-007,Seguridad,Cifrado de credenciales de autenticación,Alta,T-030 a T-040,"Las contraseñas de los usuarios deben almacenarse en la base de datos mediante un algoritmo de hashing seguro, nunca en texto plano.",Las contraseñas almacenadas no son reversibles y pasan la verificación de hashing al autenticarse.
RNF-008,Seguridad,Comunicación cifrada entre app y API,Alta,T-041,Toda la comunicación entre la aplicación móvil y la API debe realizarse sobre HTTPS para proteger los datos en tránsito.,No existen peticiones entre la app y la API que se realicen sobre HTTP sin cifrado.
RNF-009,Seguridad,Expiración de tokens JWT,Alta,"T-030, T-031","Los tokens JWT emitidos por la API deben tener un tiempo de expiración definido, tras el cual el usuario debe autenticarse nuevamente.",Un token JWT expirado es rechazado por la API con error 401.
RNF-010,Seguridad,Protección contra acceso no autorizado a la API,Alta,T-031,Todos los endpoints de la API (excepto el de login) deben requerir un token JWT válido para su acceso. Las peticiones sin token o con token inválido deben ser rechazadas.,Una petición sin token o con token inválido a cualquier endpoint protegido recibe una respuesta 401.
RNF-011,Escalabilidad,Soporte de múltiples agentes simultáneos,Alta,"T-011, T-012",El colector debe soportar la conexión simultánea de al menos 10 agentes transmitiendo tráfico y métricas sin degradación significativa del servicio.,"Con 10 agentes conectados simultáneamente, el colector no pierde paquetes ni presenta errores de recepción."
RNF-012,Escalabilidad,Modelo de datos preparado para múltiples redes,Baja,T-028,"El modelo de datos debe estar diseñado para soportar la administración de múltiples redes a futuro, aunque el alcance actual se limite a una sola red local.",El modelo relacional incluye la entidad de red como clave foránea en las tablas de inventario y métricas.
RNF-013,Portabilidad,Compatibilidad del agente con sistemas operativos,Alta,T-001 a T-010,El agente debe ser compatible al menos con sistemas operativos Windows 10/11 y distribuciones Linux basadas en Debian/Ubuntu para su instalación en endpoints.,"El agente se ejecuta correctamente y captura tráfico en Windows 10, Windows 11 y Ubuntu 22.04 o superior."
RNF-014,Portabilidad,Compatibilidad de la app móvil,Alta,T-041 a T-054,La aplicación móvil debe ser compatible con dispositivos Android versión 10 o superior.,"La app se instala y opera correctamente en dispositivos con Android 10, 11, 12, 13 y 14."
RNF-015,Usabilidad,Visualización clara de estados en el inventario,Alta,"T-045, T-051","La aplicación móvil debe diferenciar visualmente de forma clara e inmediata los dispositivos con agente activo, con agente inactivo y sin agente, así como los estados de conexión.","Un usuario nuevo puede identificar el estado de un dispositivo sin necesidad de instrucción previa, mediante indicadores visuales como colores o íconos."
RNF-016,Usabilidad,Navegación intuitiva en la app,Media,T-041 a T-054,"La aplicación móvil debe permitir al administrador acceder a cualquier funcionalidad principal (dashboard, inventario, alertas) en un máximo de 2 toques desde la pantalla principal.",Todas las funcionalidades principales son accesibles en máximo 2 toques desde el dashboard.
