IDENTIFICADOR,CATEGORÍA,NOMBRE,PRIORIDAD,DESCRIPCIÓN,CRITERIO DE ACEPTACIÓN
RNF-01,Rendimiento,Rendimiento del agente y latencia de transmisión,Alta,"El agente no debe consumir más del 5% de CPU ni 100MB de RAM de forma sostenida en el endpoint, y la transmisión de paquetes hacia el colector no debe introducir latencia adicional superior a 50ms dentro de la LAN.","El agente opera 24h sin superar umbrales de CPU/RAM, y el 95% de los paquetes llegan al colector con latencia adicional <50ms."
RNF-02,Rendimiento,Tiempo de procesamiento del motor y respuesta de la API,Alta,"El motor de análisis debe procesar cada lote PCAP rotado antes de que el siguiente esté disponible, evitando acumulación. Los endpoints de la API deben responder en máximo 2 segundos para consultas simples y 5 segundos para consultas históricas.",No se acumulan lotes PCAP sin procesar. El 95% de peticiones simples responden en <2s y las históricas en <5s.
RNF-03,Rendimiento,Frecuencia de actualización en la app móvil,Media,La aplicación móvil debe actualizar los datos del dashboard y métricas visibles con una frecuencia no mayor a 30 segundos sin intervención del usuario.,Los indicadores del dashboard se refrescan automáticamente cada 30 segundos o menos.
RNF-04,Seguridad,Autenticación segura y cifrado de comunicaciones,Alta,"Las contraseñas deben almacenarse con hashing seguro (nunca texto plano). Toda la comunicación entre app y API debe realizarse sobre HTTPS. Los tokens JWT deben tener tiempo de expiración definido, y todos los endpoints protegidos deben rechazar peticiones sin token válido con error 401.",Contraseñas no son reversibles; no existen peticiones app-API sobre HTTP sin cifrado; tokens expirados son rechazados con 401; peticiones sin token a endpoints protegidos reciben 401.
RNF-05,Disponibilidad y Escalabilidad,Operación continua del colector y soporte de múltiples agentes,Alta,"El colector debe operar 24/7 sin caídas no planificadas, soportando al menos 10 agentes simultáneos transmitiendo tráfico y métricas sin degradación del servicio. La API debe responder correctamente al 99% de peticiones durante operación continua.",El colector mantiene recepción activa sin caídas por al menos 7 días consecutivos. Con 10 agentes conectados no hay pérdida de paquetes ni errores. La API responde correctamente al 99% de peticiones.
RNF-06,Portabilidad,Compatibilidad multiplataforma del agente y la app móvil,Alta,El agente debe ser compatible con Windows 10/11 y distribuciones Linux basadas en Debian/Ubuntu. La aplicación móvil debe ser compatible con dispositivos Android versión 10 o superior.,"El agente captura tráfico correctamente en Windows 10, Windows 11 y Ubuntu 22.04+. La app se instala y opera correctamente en Android 10 a 14."
RNF-07,Usabilidad,"Experiencia de usuario clara, intuitiva y con indicación de estado",Alta,"La app debe diferenciar visualmente de forma clara los estados de dispositivos y agentes (activo, inactivo, con/sin agente). Todas las funcionalidades principales deben ser accesibles en máximo 2 toques desde el dashboard. Debe indicar visualmente cuando los datos mostrados no estén actualizados.","Un usuario identifica estados sin instrucción previa. Dashboard, inventario y alertas accesibles en ?2 toques. Datos con más de 60s sin actualizar muestran indicador visual."
RNF-08,Mantenibilidad,"Documentación, logging y configuración externalizada",Alta,"Todos los endpoints de la API deben estar documentados (método, ruta, parámetros, respuestas, códigos de error). El colector y motor deben registrar logs de operaciones principales. Los parámetros del agente (IP colector, puertos, intervalos) deben ser configurables mediante archivo externo sin modificar código.",Documentación cubre 100% de endpoints. Logs permiten reconstruir eventos de las últimas 24h. Configuración del agente se modifica sin recompilar.
RNF-09,Integridad,Consistencia de datos y transaccionalidad en persistencia,Alta,La información presentada en la app debe ser consistente con los datos almacenados en BD sin discrepancias. Las inserciones de métricas deben ser transaccionales: una falla parcial revierte la transacción completa para evitar datos inconsistentes.,Comparación API vs app no presenta discrepancias. Una falla en inserción de lote no deja registros parciales.
RNF-10,Escalabilidad,Modelo de datos preparado para múltiples redes,Baja,"El modelo de datos debe estar diseñado para soportar la administración de múltiples redes a futuro, aunque el alcance actual se limite a una sola red local.",El modelo relacional incluye la entidad de red como clave foránea en las tablas de inventario y métricas.
RNF-11,Despliegue,Pipelines de CI/CD para backend y app móvil,Alta,Tanto el backend como la aplicación móvil deben contar con pipelines de integración y entrega continua que ejecuten pruebas y generen artefactos de despliegue/publicación de forma automatizada.,"Un cambio en el repositorio activa el pipeline, ejecuta pruebas y despliega (backend) o genera APK/bundle (app) sin intervención manual."
