IDENTIFICADOR,MÓDULO,NOMBRE,PRIORIDAD,ENTRADA,SALIDA,DESCRIPCIÓN,PRECONDICIONES,POSTCONDICIONES,FLUJO BÁSICO,FLUJO ALTERNATIVO
RF-01,Agente,"Captura, sanitización y transmisión de tráfico de red",Alta,Interfaz de red activa del endpoint con tráfico entrante y saliente.,"Flujo TCP continuo de paquetes sanitizados (PCAP) enviados al colector, con metadata orig_len preservada.","El agente debe capturar de forma continua todos los paquetes de red que circulen por la interfaz del endpoint, aplicar un recorte dinámico (slicing) al payload según el puerto de destino (DNS/HTTPS: 300 bytes, resto: 96 bytes) preservando el campo orig_len para cálculo real de ancho de banda, y transmitir los paquetes sanitizados al colector mediante una conexión TCP persistente que garantice la entrega ordenada.",El agente debe estar ejecutándose con permisos de captura de red y el colector debe ser accesible en la LAN.,Los paquetes sanitizados han sido transmitidos al colector con headers completos y metadata de tamaño original preservada.,"1. El agente inicia captura sobre la interfaz principal.
2. Cada paquete es interceptado y almacenado en buffer local.
3. Se identifica el puerto de destino y se aplica la regla de slicing correspondiente, preservando orig_len.
4. Se establece conexión TCP con el colector y se transmiten los paquetes de forma continua.","1. Si la interfaz no está disponible, registra error y reintenta periódicamente.
2. Si el paquete es menor al umbral de recorte, se transmite sin modificación.
3. Si la conexión TCP se pierde, reintenta; los paquetes durante la desconexión se descartan."
RF-02,Agente,Recolección y transmisión de métricas de sistema del endpoint,Alta,"Estado actual del procesador, memoria y enlace de red del endpoint.","Paquete UDP periódico (cada 5s) con CPU (%), RAM (%) y velocidad de enlace (Mbps) enviado al colector.","El agente debe recolectar periódicamente las métricas de uso de CPU, memoria RAM y velocidad del enlace de red del endpoint, empaquetarlas en un paquete UDP personalizado con timestamp e identificador del agente, y enviarlas al colector cada 5 segundos a través de un canal paralelo e independiente del flujo TCP de tráfico.",El agente debe estar ejecutándose con permisos de lectura sobre los recursos del sistema.,El colector ha recibido las métricas del endpoint y las tiene disponibles para persistencia.,"1. El agente consulta CPU, RAM y velocidad de enlace del sistema.
2. Empaqueta los valores con timestamp e identificador en un paquete UDP.
3. Envía al colector por el puerto UDP designado.
4. Repite cada 5 segundos.","1. Si la lectura de alguna métrica falla, se envía valor nulo para esa métrica.
2. Si el envío UDP falla, descarta el paquete y reintenta en el siguiente ciclo.
3. Si no se puede determinar la velocidad de enlace, se envía valor nulo."
RF-03,Agente,Descubrimiento de dispositivos en la red por ARP,Alta,Segmento de red al que está conectado el endpoint.,Lista de dispositivos detectados con dirección IP y MAC transmitida al colector.,"El agente debe ejecutar periódicamente un escaneo ARP sobre el segmento de red para descubrir todos los dispositivos conectados, incluyendo aquellos que no tienen agente instalado, y transmitir la lista al colector para la construcción del inventario de activos.",El agente está conectado a la red local y tiene permisos para enviar solicitudes ARP.,El colector cuenta con un listado actualizado de dispositivos detectados en el segmento.,"1. El agente envía solicitudes ARP al rango de direcciones del segmento.
2. Recopila respuestas con IP y MAC.
3. Transmite la lista al colector.","1. Si un dispositivo no responde al ARP, no se incluye en ese ciclo de escaneo."
RF-04,Agente,Autoregistro y señal de vida del agente,Alta,Primera ejecución del agente o agente en ejecución continua.,Agente registrado en el colector con identificador único (hostname + MAC) y heartbeats periódicos recibidos.,"El agente debe autoregistrarse en el colector al ejecutarse por primera vez mediante un handshake con su identificador único (hostname + MAC), y posteriormente enviar señales de vida (heartbeat) periódicas con timestamp para que el colector determine qué agentes están activos y cuáles han dejado de reportar.",Es la primera ejecución del agente o el agente está registrado y en operación continua.,El colector tiene registrado al agente con su estado actualizado y marca de última actividad.,"1. El agente genera su identificador (hostname + MAC).
2. Envía handshake al colector y espera confirmación.
3. Inicia operaciones normales.
4. Envía heartbeat periódico con identificador y timestamp.","1. Si ya está registrado, el colector actualiza el timestamp.
2. Si el colector no responde al handshake, reintenta periódicamente.
3. Si el envío de heartbeat falla, continúa operando y reintenta."
RF-05,Colector,Recepción simultánea de tráfico TCP y métricas UDP de agentes,Alta,Flujos TCP con datos PCAP y paquetes UDP con métricas de sistema provenientes de los agentes.,Datos de tráfico escritos en buffer PCAP local y métricas de endpoint almacenadas por agente.,"El colector debe recibir simultáneamente los flujos TCP de tráfico de todos los agentes activos escribiéndolos en un buffer PCAP local, y en paralelo recibir los paquetes UDP con métricas de sistema (CPU, RAM, velocidad de enlace), asociándolos al endpoint correspondiente mediante su identificador único.","Al menos un agente está conectado, transmitiendo datos y registrado en el colector.",Los datos de tráfico están en el buffer PCAP activo y las métricas de cada endpoint están disponibles para persistencia.,"1. El colector escucha conexiones TCP y paquetes UDP en los puertos designados.
2. Acepta conexiones TCP de agentes y escribe datos en buffer_actual.pcap.
3. Recibe paquetes UDP, extrae identificador del agente y asocia métricas al endpoint.","1. Si un agente TCP se desconecta, cierra esa conexión y sigue con los demás.
2. Si un paquete UDP tiene identificador no registrado, se descarta."
RF-06,Colector,Ingesta continua y rotación de archivos PCAP,Alta,Datos de tráfico recibidos por TCP en flujo continuo.,Archivos PCAP rotados con timestamp (lote_YYYYMMDD_HHMMSS.pcap) disponibles para análisis y nuevo buffer vacío activo.,"El colector debe escribir de forma continua e ininterrumpida los datos de tráfico en un archivo buffer temporal (buffer_actual.pcap) y rotarlo automáticamente cada minuto o al alcanzar 100MB, renombrándolo con timestamp, cerrándolo para análisis e inmediatamente creando un nuevo buffer vacío para continuar la ingesta sin interrupción.",El servicio de recepción TCP está activo y hay agentes transmitiendo.,El archivo rotado está disponible para el motor de análisis y la ingesta continúa en un nuevo buffer.,"1. Los datos TCP se escriben secuencialmente en buffer_actual.pcap de forma continua.
2. Al cumplirse condición de rotación (1 min o 100MB), cierra y renombra a lote_YYYYMMDD_HHMMSS.pcap.
3. Abre nuevo buffer_actual.pcap inmediatamente.
4. El archivo rotado queda disponible para el motor.","1. Si el disco alcanza umbral de capacidad, emite alerta interna.
2. Si el renombramiento falla, reintenta antes de abrir nuevo buffer."
RF-07,Colector,"Registro, control y estado de agentes conectados",Alta,Paquetes de handshake y heartbeats de los agentes.,Registro actualizado de agentes con estado (activo/inactivo) y marca de última conexión.,"El colector debe mantener un registro de todos los agentes conectados, procesando sus handshakes de registro y heartbeats periódicos, actualizando su estado según la última actividad recibida y marcando como inactivos aquellos que superen el umbral de inactividad definido.",Al menos un agente se ha registrado en el colector.,El inventario de agentes refleja el estado real de conectividad de cada uno.,"1. Al recibir handshake, registra agente o actualiza timestamp.
2. Al recibir heartbeat, actualiza marca de última actividad.
3. Periódicamente verifica inactividad y marca agentes inactivos.","1. Si un agente inactivo vuelve a reportar, se marca activo nuevamente."
RF-08,Motor de Análisis,"Pipeline de procesamiento, condensación y persistencia de datos PCAP",Alta,Archivos PCAP rotados disponibles para lectura.,"Datos procesados, normalizados, correlacionados e insertados en base de datos SQL; archivos PCAP procesados eliminados.","El motor debe tomar cada archivo PCAP rotado, procesarlo con las herramientas de análisis configuradas generando outputs estructurados, condensar y correlacionar la información entre fuentes (tráfico, métricas de endpoint, inventario ARP), estructurar los datos según el modelo relacional definido, insertarlos en la base de datos SQL con retención permanente, y eliminar los archivos PCAP procesados exitosamente para liberar espacio en disco.",Existe al menos un archivo PCAP rotado pendiente y la base de datos está accesible.,"Las métricas están persistidas en SQL, disponibles para la API, y el espacio en disco ha sido liberado.","1. Detecta nuevo archivo PCAP rotado.
2. Lo procesa con herramientas de análisis y obtiene outputs estructurados.
3. Condensa, correlaciona datos de tráfico con dispositivos del inventario.
4. Estructura según modelo relacional e inserta en SQL.
5. Confirma transacción y elimina el archivo PCAP procesado.","1. Si el procesamiento falla, marca como error y registra en log; no se elimina el archivo.
2. Si un dato no puede correlacionarse, se registra con identificador genérico.
3. Si la BD no está accesible, encola para inserción posterior."
RF-09,Motor de Análisis,Cálculo de métricas de tráfico por endpoint,Alta,Datos de tráfico procesados con orig_len preservado y conexiones TCP/IP por endpoint.,"Métricas por endpoint: ancho de banda real, ranking Top Talkers, retransmisiones TCP y conexiones fallidas.","El motor debe calcular para cada endpoint: el consumo real de ancho de banda usando orig_len, generar el ranking de Top Talkers (dispositivos con mayor consumo), contabilizar retransmisiones TCP que indiquen problemas físicos de conexión, y contabilizar conexiones salientes rechazadas o sin respuesta que indiquen configuraciones rotas o comportamiento anómalo.",Los datos de tráfico han sido procesados y contienen orig_len y datos de conexiones TCP.,Las métricas de tráfico por endpoint están persistidas y disponibles para consulta por la API.,"1. Agrupa paquetes por endpoint y suma orig_len para ancho de banda real.
2. Ordena endpoints por consumo descendente para generar ranking Top Talkers.
3. Analiza conexiones TCP por endpoint e identifica retransmisiones.
4. Filtra conexiones con rechazo o timeout y contabiliza por dispositivo.
5. Persiste todos los resultados.","1. Si orig_len no está disponible, usa tamaño del paquete recortado.
2. Si todos tienen consumo cero, genera ranking vacío.
3. Si no hay conexiones TCP o fallidas en la ventana, registra valor cero."
RF-10,Motor de Análisis,Cálculo de métricas de salud de la red,Alta,"Pings periódicos a 8.8.8.8, datos de tráfico procesados y consultas DNS.","Indicadores de red: ISP Health (latencia promedio), packet loss (%), DNS Response Time (ms) y jitter (varianza de latencia).","El motor debe calcular indicadores globales de salud de la red: latencia promedio hacia servidor externo cada 30s para evaluar la salud del ISP (>200ms indica problema), porcentaje de pérdida de paquetes global (>1% indica problemas de conectividad), tiempo de respuesta promedio de DNS (>100ms indica DNS lento), y varianza de latencia (jitter) para determinar estabilidad de la señal.","Al menos un agente está activo, los datos de tráfico han sido procesados y existen mediciones de latencia.",Los indicadores de salud de red están persistidos y disponibles para consulta.,"1. Ejecuta pings a 8.8.8.8 cada 30s y promedia resultados de todos los agentes para ISP Health.
2. Contabiliza paquetes perdidos vs enviados para packet loss.
3. Extrae consultas DNS y calcula tiempo de respuesta promedio.
4. Calcula varianza de mediciones de latencia para jitter.
5. Persiste todos los indicadores.","1. Si el ping falla completamente, registra pérdida total de conectividad.
2. Si no hay datos suficientes para algún cálculo, registra como indeterminado.
3. Si no hay consultas DNS en la ventana, registra DNS como indeterminado."
